City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Kushima,JP,80.96,heavy intensity rain,31.4583,131.2333,Hanaoka
546,Puntarenas,CR,79.5,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
547,Fare,PF,77.32,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
550,Biak,ID,75.02,overcast clouds,-0.9131,122.8766,Penginapan Kim
551,Ugoofaaru,MV,80.92,overcast clouds,5.6667,73.0,Ungoofaaru Inn
555,Sur,OM,84.16,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
556,Rincon,US,81.95,moderate rain,32.296,-81.2354,Days Inn Rincon
558,Surt,LY,79.56,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
559,Tuy Hoa,VN,77.27,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
560,Mormugao,IN,78.53,scattered clouds,15.4,73.8,Coconut Creek Resort
564,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
568,Bontang,ID,76.41,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
578,Never,FR,76.75,clear sky,46.9896,3.159,Hôtel Kyriad Nevers Centre
579,Coos Bay,US,80.31,mist,43.3665,-124.2179,Best Western Holiday Hotel
