City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Yellowknife,CA,2022-07-19 22:01:27,overcast clouds,62.456,-114.3525,65.95,64,100,12.53
117,Albany,US,2022-07-19 22:00:14,broken clouds,42.6001,-73.9662,90.57,47,73,1.01
118,Bud,US,2022-07-19 22:03:06,scattered clouds,39.447,-86.1758,89.91,64,43,5.3
119,Nome,US,2022-07-19 22:03:07,overcast clouds,64.5011,-165.4064,47.16,76,100,13.8
120,Provost,CA,2022-07-19 22:03:07,clear sky,52.3501,-110.2683,77.41,44,6,6.55
121,Jackson,US,2022-07-19 21:58:53,clear sky,42.4165,-122.8345,97.05,21,0,8.01
122,Iskateley,RU,2022-07-19 22:03:08,clear sky,67.6803,53.1512,60.12,69,10,12.86
123,Georgetown,MY,2022-07-19 21:59:18,few clouds,5.4112,100.3354,78.89,97,20,1.14
124,Irati,BR,2022-07-19 22:03:08,clear sky,-25.4672,-50.6511,60.57,97,2,1.59
125,New Norfolk,AU,2022-07-19 22:03:09,clear sky,-42.7826,147.0587,36.72,88,4,2.68
126,Graaff-Reinet,ZA,2022-07-19 22:03:09,overcast clouds,-32.2522,24.5308,52.92,89,88,6.93
127,Dawei,MM,2022-07-19 22:03:10,light rain,14.0833,98.2,77.18,92,100,1.66
128,Zhigansk,RU,2022-07-19 22:03:10,broken clouds,66.7697,123.3711,41.23,73,82,21.27
129,Natal,BR,2022-07-19 22:03:11,few clouds,-5.795,-35.2094,75.85,88,20,6.91
130,Sept-Iles,CA,2022-07-19 22:03:11,overcast clouds,50.2001,-66.3821,64.06,86,99,3.0
131,The Valley,AI,2022-07-19 22:03:12,scattered clouds,18.217,-63.0578,84.34,74,40,14.97
132,Ribeira Grande,PT,2022-07-19 22:03:12,clear sky,38.5167,-28.7,72.95,87,9,6.73
133,Lebu,CL,2022-07-19 22:03:13,scattered clouds,-37.6167,-73.65,48.33,77,28,2.15
134,Lompoc,US,2022-07-19 22:03:13,clear sky,34.6391,-120.4579,98.78,59,0,16.11
135,Ozernovskiy,RU,2022-07-19 22:03:13,overcast clouds,51.5,156.5167,57.61,80,95,3.53
136,Cidreira,BR,2022-07-19 22:03:14,broken clouds,-30.1811,-50.2056,58.28,82,81,6.15
137,Saskylakh,RU,2022-07-19 22:04:14,overcast clouds,71.9167,114.0833,40.26,68,99,15.05
138,Pangnirtung,CA,2022-07-19 22:04:15,overcast clouds,66.1451,-65.7125,47.77,80,100,1.95
139,Riviere-Au-Renard,CA,2022-07-19 22:04:15,overcast clouds,48.9957,-64.3971,60.03,99,100,15.23
140,Atar,MR,2022-07-19 22:04:16,broken clouds,20.5169,-13.0499,99.9,10,60,2.59
141,Airai,TL,2022-07-19 22:04:16,broken clouds,-8.9266,125.4092,52.68,70,58,2.86
142,Iqaluit,CA,2022-07-19 22:04:17,overcast clouds,63.7506,-68.5145,38.7,100,100,4.0
143,Taltal,CL,2022-07-19 22:00:29,scattered clouds,-25.4,-70.4833,60.62,73,29,3.67
144,Lavrentiya,RU,2022-07-19 22:04:17,overcast clouds,65.5833,-171.0,43.2,64,99,3.15
145,Pilar,BR,2022-07-19 22:04:18,scattered clouds,-9.5972,-35.9567,76.93,92,32,3.94
146,Vardo,NO,2022-07-19 22:04:18,light rain,70.3705,31.1107,53.58,100,100,4.61
147,Aklavik,CA,2022-07-19 22:04:19,broken clouds,68.2191,-135.0107,60.39,62,66,4.63
148,Viedma,AR,2022-07-19 22:00:28,scattered clouds,-40.8135,-62.9967,57.52,27,33,25.43
149,Fairbanks,US,2022-07-19 22:00:04,overcast clouds,64.8378,-147.7164,56.61,84,100,1.01
150,Bilibino,RU,2022-07-19 22:04:20,broken clouds,68.0546,166.4372,42.03,65,68,2.17
151,Carnarvon,AU,2022-07-19 22:04:20,broken clouds,-24.8667,113.6333,64.69,44,56,7.29
152,San Quintin,MX,2022-07-19 22:04:20,broken clouds,30.4833,-115.95,76.71,61,74,15.23
153,Lagoa,PT,2022-07-19 22:04:21,clear sky,39.05,-27.9833,70.72,93,0,10.92
154,Vitkov,CZ,2022-07-19 22:04:21,clear sky,49.7744,17.7494,67.51,57,3,2.3
155,Tacuarembo,UY,2022-07-19 22:04:22,clear sky,-31.7333,-55.9833,48.24,88,0,5.46
156,Salalah,OM,2022-07-19 22:04:22,light intensity drizzle,17.0151,54.0924,77.09,100,100,4.61
157,Alyangula,AU,2022-07-19 22:04:22,overcast clouds,-13.8483,136.4192,60.67,100,100,0.0
158,Lasa,IT,2022-07-19 22:04:23,few clouds,46.6166,10.7002,68.23,90,23,2.06
159,Big Rapids,US,2022-07-19 22:04:23,clear sky,43.6981,-85.4837,84.33,53,0,10.36
160,Nantucket,US,2022-07-19 22:00:53,clear sky,41.2835,-70.0995,80.1,84,6,24.99
161,Ponta Do Sol,PT,2022-07-19 22:04:24,clear sky,32.6667,-17.1,72.23,80,3,6.46
162,Santiago Del Estero,AR,2022-07-19 22:04:24,clear sky,-27.7951,-64.2615,60.15,47,0,5.44
